Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",1206,5,2.2u,C50254
"C10, C11, C13, C14, C18, C21, C22",0402,7,1u,C52923
"C12, C16",0402,2,10n,C15195
"C15, C23, C24, C27, C30, C33, C6, C7, C8, C9",0402,10,100n,C1525
"C17, C26, C29, C32",0603,4,1u,C15849
"C19, C20",0402,2,10p,C32949
"C25, C28, C31",0402,3,220n,C16772
"D1, D4",0603,2,KT-0603W,C2290
"D10, D11, D12, D13, D2, D3, D5, D6, D7, D8, D9",Rohm_SMD1006,11,RB161QS-40T18R, C2837790
"J1, J10, J11, J2, J9",Phase4x4,5,Conn_01x01,
"J3, J4, J5, J6, J7",TestPoint_Pad_2.0x2.0mm,5,Conn_01x01,
L1,LVS404018-220M-N,1,22u, C116614
LED1,SMD-B_19-337C_EVE,1,19-337C/RSBHGHC-A88/4T,C3019536
"Q1, Q2, Q3, Q4, Q5, Q6",CSD18540Q5B,6,CSD18540Q5B,C86513
"R1, R8",0402,2,22k,C25768
"R10, R13, R14, R15, R16",0402,5,100,C25076
"R11, R20, R23, R24, R31, R34, R35, R42, R45, R46",0402,10,10k,C25744
"R12, R2, R26, R37, R48",0402,5,33,C25105
"R17, R19, R21, R28, R30, R32, R39, R41, R43",0402,9,3.3,C25165
"R18, R22, R29, R33, R40, R44",0402,6,10,C25077
"R25, R36, R47",HoBB1216-5W-0.5mR-1,3,0.5m,C17701556
"R27, R3, R38, R49, R6",0402,5,1k,C11702
R4,0603,1,120k,C25808
R5,0402,1,200k,C25764
R7,0402,1,51k,C25794
R9,0402,1,12k,C25752
TH1,0402,1,Thermistor_NTC,C209959
"TP1, TP10, TP11, TP12, TP13, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,13,TestPoint,
U1,STM32G474CEU6,1,STM32G474CEU6, C1235412
U2,LM5160ADNTR,1,LM5160A,C473375
U3,TI-SOT-23 (5p),1,TPS7B92033,C32353919
"U4, U5, U6",2EDL8024,3,2EDL8024, C3655215
X1,YXC-X322516MLB4SI,1,16MHz,C13738
